id,entities,clean_text
158,LOC/LA;LOC/Riverside County;,There will be qualifying events in various areas . Mine are here in the LA area . The games are in Riverside County .
159,LOC/LA;LOC/Lake Tahoe;LOC/South Tahoe;LOC/Incline Village;,"Yes, I'm in LA & raining . Lucky you! Lake Tahoe is great . I normally stayed at South Tahoe & Incline Village ."
160,LOC/Vermont;,"when I snap, I will totally be raising goats in Vermont ."
161,MISC/Ali;,"Aight Mal . Ali, I will find the film and watch it . See Darkness See Light . Lol"
162,ORG/NATO;LOC/IRAQ;,NATO stayed out of IRAQ! Please
163,MISC/Toy Story 3;,"Look into Googling "" ""MoviePoint "" "" for the movie Toy Story 3 . I just finished watching it . Absolutely loved it . """
164,LOC/NYC;LOC/NBC Experience store;,To my NYC folks - I ll be doing a signing/reading of my new book at the NBC Experience store at 10:30 am . Come by and say hi!
165,ORG/Amnesty;,Love the drive Power! many blessings to you and Amnesty!
166,,Awesome
167,PER/Nicki Minaj;,when did Nicki Minaj become hip hop tho?! I think she's more pop . Idk how ppl can say certain things
168,ORG/EU;,"I am curious what's the situation in other countries - EU, for instance ..."
169,,"I think the answer regarding is easy this is NOT a democracy! Talking about "" ""faking "" "" etc. is 'exercise de style' """
170,,ANOTHER GREAT INTERVIEW PRIMOOOO - NOW IF WE CAN ONLY SEE THE ORIGINAL BIRTH CERTIFICATE LOL COULDNT RESIST
171,PER/morgan freeman;,look at who started it all re morgan freeman hoax
172,ORG/CONGRESS;PER/OBAMA;,CONGRESS OUTLAWS USE OF AUTOTUNES AFTER PRES. OBAMA INSISTS ON USING IT WHEN GIVING ALL HIS SPEECHES
173,ORG/Amazon;,there is no way one can explain this book that will sound reasonable and shame on Amazon!
174,ORG/Senate;,Update Tax deal clears key Senate hurdle
175,ORG/Reuters;,"next dump has potentially embarassing corruption tales about foreign govt's, leaders, sources tell Reuters"
176,LOC/Brooklyn Flea;,"he did n't want to see Santa at Brooklyn Flea, so we explained that hipsters hate Santa, duh ."
177,LOC/California;,"I always feel like people in California are lazy because they take so long to reply to my emails, etc."
178,PER/Hill;,Ditto! Reading 1925 version of Hill's Law of Success . Good Morning/Night . -)
179,ORG/Army;,I wonder if computers will start taking over since 25% of young people ca n't even pass the Army entrance exam .
180,LOC/Los Angeles;,It was good . We 're probably going to be getting your rain down here in the Los Angeles area tomorrow .
181,PER/Angie;ORG/Twitter;,Okay Angie . I hope the anxiety is deleted & complete relaxation comes on . Maybe staying away from Twitter can help .
182,ORG/Army;PER/Angie;,Our educational system is broke . And those that took the Army exam were the 25% that passed the physical . Good night Angie!
183,,Thanks for all! Haha! Nice quotes!
184,LOC/Canada;,yea (they need Yo make that txt service available for Canada -LRB
185,,"um well I sing and use to model when I was 12 . And I 14! Haha, wbu?"
186,ORG/Delifrance;LOC/Tampines Mall;,The nearest Delifrance is at Tampines Mall . I shall do that on my day off this Thursday!
187,ORG/Twitter;,"But seriously, Twitter taught me to be brief / right to the point! I like 2 always inc links in my Tweets & 2 show gratitude!"
188,,Happy New Year to you darling xxx
189,LOC/America;,America's Best and Worst Announced
190,LOC/UK;,"Sack/Arrst Arti Menon UP Off . kins Hsec GK Pillay & Mutemwar4key roles, abuse of powr in UK plottd crimes"
191,LOC/Mid-Atlantic;,"video Monster Storm Heads for Mid-Atlantic, Northeast"
192,PER/John Hughes;,love John Hughes movies
193,PER/Adam Lam;,bear has a sexual connotation . We do n't want that . Adam Lam ... cook . That could work .
194,ORG/FBI;PER/Nas;,"I just do n't know! There's art thief/FBI agent on there, Nas!"
195,ORG/Twitter;,I did too! Twitter has been up & down too . I wonder if it's a cyberattack .
196,LOC/S Korea;,"Good morning, hope you are well . What happened between N & S Korea? I missed the start of this . Have a good day"
197,PER/Dale Carnegie;,that is great . jakson (You never achieve success unless you like what you are doing . ~ Dale Carnegie)
198,ORG/Twitter;,You should not swear on Twitter and say that 4 letter word! SNOW! NO SNOW!!!! LOL Not ready yet! o)
199,LOC/India;,What is trending in India lol
200,LOC/Chicago;,"is out of his fucking mind . He is not drunk, he is not high, and he is not in Chicago"
201,,The Torch is only $ 50.00 on .
202,PER/Andrea Yates;,"Girl Andrea Yates from killed 5 of hers, and is only in mental institution smh . what channel ru watching?"
203,,"insufficient postage, only some were returned not all, 60c for the same size of a christmas card should be enough shouldnt it?"
204,MISC/Kiss Goodbye;,new vid 'Kiss Goodbye' Premiere's tonight 12AM EST/9PM PST on his website
205,,"Cool, good lookin out Anand . I 'll miss this cast on tv, because I could n't stop laughing ."
206,PER/Stephan Colbert;,youse a bandwagoner ... \* Stephan Colbert wag of the finger \*
207,PER/Franklin Raines;ORG/Fannie Mae;,U curious about the fact that we are paying Franklin Raines legal fees for committing accounting fraud at Fannie Mae?
208,ORG/Senate;,"I am "" ""pleased to announce "" "" the Senate is moving forward on a package of tax cuts that has strong bipartisan support """
209,PER/Harris;,Watch this! Dr. Harris defines morality correctly; asserts correctly that we can measure it .
210,ORG/House of Representatives;,""" ""I urge the House of Representatives to act quickly on this important matter . "" "" """
211,LOC/Oxford;,""" ""fury "" ""? Really? "" ""wild or violent anger "" "" - per Oxford dictionary . Do you think so? Or are they just a bit politically annoyed? """
212,,Indian electronic media r insane .
213,LOC/EU;,Irish 'in bailout talks with EU' ) It used to be individual banks now its become whole countries
214,PER/manas-chaudhuri;,QIPS manas-chaudhuri .
215,,Solar energy Targets Published In Business Plan Page
216,PER/manas-chaudhuri;,Solar Energy of QIPS energy also designing for Boa ... manas-chaudhuri .
217,ORG/MS;ORG/Google;,"Joy! MS Office now syncs with Google Docs (well, in beta anyway) . We are soon to be one big happy collaborative Click family . Ric"
218,,lol was just a joke ... The 'Other Channel' does n't matter lol
219,LOC/Korea;,also a big threat to human and animals in Korea .
220,LOC/Korea;,It is also a big worry to human and animals in Korea
221,LOC/Nazi Germany;,"being British seperated fathers are treated like Jews in Nazi Germany, I have n't seen my kids for 8 years . Compensate that ."
222,PER/Blunt;,Is this anything to do with Mr Blunt making my dogs in to lesbians?
223,LOC/Ireland;,nice read on Ireland
224,PER/Leslie Nielsen;,The world will be a sadder place without Leslie Nielsen . R.I.P.
225,LOC/Ghana;,"Shock in Ghana over gruesome death of 'witch', reportedly involving a pastor"
226,LOC/The West;ORG/al-Qaeda;,The West 'can not defeat al-Qaeda'
227,LOC/UK;MISC/Iraq war;,UK man charged with terrorism offences over a blog listing MPs it claimed voted for the Iraq war
228,ORG/Wikileaks;LOC/Europe;,Wikileaks sparks anger in Europe
229,PER/Liam Fox;,Liam Fox is full of it .
230,,WHO WON YELLOw YEAH?!!!
231,PER/Palmer;,Would u like Mr Palmer if a rocket carrying this radioactive package blew up & spewed radioactive particulates in yr back yard?
232,PER/Gavin Henson;PER/Barry chuckle;PER/will ferrell;,"marry, kiss, kill Gavin Henson, Barry chuckle, will ferrell?"
233,ORG/BBC;,so you dont work for the BBC?
234,PER/David Haye;PER/Audley;,what round will David Haye KO Audley?
235,,"what would you rather do for a living, cheerleader or gardener?"
236,LOC/Tooth Fairies castle;,where would you rather visit - your mother in laws or the Tooth Fairies castle?
237,LOC/UK;,you are Tweeting for the biggest sport site in the UK and dont know about Rugby ... poor form . .
238,ORG/Pirate Bay;,Ooops . Thats the popular Pirate Bay .
239,,I really hope it does n't have to come to that .
240,,A Ghazal of Ghalib In English A Ghazal of Ghalib Rendered ...
241,MISC/MMA;LOC/Glasgow;,Octagon Blog MMA in Glasgow 2011!
242,LOC/UK;LOC/UK;PER/JESUS;,"the UK family law holocaust has seen millions of UK kids taken from seperated fathers, thanks to JESUS, he is to return them ."
243,LOC/America;,'DADT' - America still has a long way to go to get on the humanitarian list!
244,ORG/NATO;LOC/Afghanistan;,""" ""A man in police uniform kills 6 NATO troops during training session in eastern Afghanistan . "" "" . . Thats the thing about uniforms . """
245,PER/jerry yang;PER/david filo;,""" ""valleylist "" "" v135 r. 1 - - electricity (jerry yang and david filo) """
246,PER/Fiona;ORG/BBC;,Fiona looks a bit Frumpy Tonight Watch out the BBC might ship in some Chinese News Readers to save Money!
247,PER/Breitbart;ORG/ADL;,Question Why won t Breitbart report on ADL s sweeping condemnation of Beck?
248,LOC/US;,350M US for a Trent 900 Each Naga? surely thats 10 times too Much! 1.4 Billion for for 4?
249,LOC/Pakistan;,Action Plan for Econ Salvation of Pak Security of Pakistan s future depends in its econom growth & d. . .
250,LOC/North Korea;LOC/South Korea;MISC/Asian;,Alternatively could North Korea's attack on South Korea have an influence on Asian shares?
251,LOC/Australia;LOC/Blackwater;LOC/Christmas Island;,Australia s Blackwater update Christmas Island detainees sew lips together
252,LOC/Nazi Germany;,"British seperated fathers are treated like Jews in Nazi Germany, I have n't seen my kids for 8 years . Compensate that ."
253,LOC/Pakistan;,By repeat annonucements these Americans will make $ 7.5 billion KLB aid look like $ 750 billions assistance to Pakistan .
254,ORG/Coke;ORG/Pepsi;ORG/BRICA Group;,Coke vs. Pepsi in emerging markets - BRICA Group Weekly Episode 1 via
255,LOC/UK;,English family law holocaust sees millions of UK kids snatched from separated fathers . Children suffering mental torture .
256,LOC/UK;LOC/UK;,English family law holocaust sees millions of UK kids snatched from separated fathers . UK children suffering mental torture .
257,PER/RICK JOYNER;LOC/JIM BAKKER BUILDING;,FALSE PROPHET RICK JOYNER IN TROUBLE FINANCIALLY AND WITH HIS JIM BAKKER BUILDING (cont)
258,LOC/Ariz.;,Final vote count Ariz. ... voters OK ... measure legalizing medical marijuana
259,LOC/Russia;,Fur flying ... Look to disable Sat lines look to work with Russia
260,LOC/US;,Global News US growth 'faster-than-thought'??? That is fast!
261,PER/Sepp Blatter;,good we need to get rid off of all these corrupts people and Sepp Blatter should resign
262,ORG/fifa;,"Good what are they scared of more corruption oozing out of the fifa 's mire, perhaps more investigations may come of it"
263,ORG/Nato;LOC/Portugal;,Nato Destroys Everything will be the slogan of blocked anti-nato protesters in Portugal!
264,LOC/India;PER/Gandhi;,"I hope India will come to an end with the cast system, it s so strange for the nation of Gandhi to maintain this awful system"
265,LOC/Ireland;LOC/Europe;,"In everyone's (i.e BANKERS) "" ""better interests "" "" for Ireland to "" ""see this through "" "" says Europe Minister as pressure grows 4 bailout """
266,ORG/BBC;,Is that really BBC Global worthy news?
267,ORG/BBC;,Is that really BBC worthy news?
268,LOC/Nairobi Airport;,Is your chap really at Nairobi Airport Bacjground?
269,,It is irresponsible of media to publish stolen files distributed by . freedom of the press is not at issue .
270,ORG/Labour;ORG/LABOUR;ORG/PARLIAMENT;,"Labour 'may back' detention cut (THIS WAS LABOUR 'S "" ""AMERICAN PROBLEM "" "" ROUNDKY DEFEATED IN PARLIAMENT) """
271,PER/MOZART;,"MOZART, L'OPERA ROCK via MOZART FRANC MACON, FREE MASSON . ET SUBLIME GENIE"
272,PER/Sackur;PER/Courtney Griffiths;PER/Mugabe;PER/Taylor;,Mr Sackur In another life I could quite see Courtney Griffiths as Mugabe or Taylor? Pride & Prejudice?
273,ORG/Turkish Airlines;ORG/BA;,News Nice AD for Turkish Airlines but ca n't you get BA to advertise with you? After all we have already paid for
274,PER/Nick Oliver;,"Nick Oliver, English fathers rights victim of "" family law holocaust "" is at day 51 of hunger strike ..."
275,PER/Nick Oliver;,Nick Oliver the English fathers rights victim of family law holocaust is at day 50 of his Hunger Strike ...
276,LOC/north korea;LOC/north korea;,"north korea is LYING, there are no human rights in north korea"
277,PER/Palin;LOC/USA;,"Of course Palin can do it, perhaps to let USA defeat itself ."
278,PER/Simpson;LOC/Burma;LOC/Nairobi;,Perhaps you are catapulting Simpson from Burma to Nairobi to Great the Chandlers or Perhaps not?
280,,Solar of energy Targets are Published In Business Plan Page Find the New Energy in the Theme
281,,"The Devil's Prophet in 2011! If you 're not nervous about the state of the world now, you will be ."
282,LOC/UK;LOC/UK;,"the English family law holocaust has seen millions of UK kids snatched from seperated fathers, causing UK dads mental torture ."
283,LOC/UK;,the English family law holocaust has seen millions of UK kids snatched from seperated fathers so as they can make money . slavery
284,LOC/UK;LOC/UK;PER/JESUS;,"the UK family law holocaust has seen millions of UK kids taken from seperated fathers, thanks to JESUS, HELP is on the way ..."
285,ORG/UN;,the UN is trying to kill off the Haitians! Its evident . . Why idk? Say resources?
286,LOC/Mogadishu;,There are no Tourists in Mogadishu it is a hell hole
287,LOC/Europe;,"There's no peace to be had, for many Muslims, extermination of Jewish people & Islamic conquest of Europe are core aims ."
288,PER/Mike Gardner;ORG/states;,trying to get an e-mail address for Mike Gardner - ca n't call from states .
289,LOC/US;LOC/America;,US companies report record profit-America back on track
290,LOC/the West;LOC/Haiti;,"Whilst the West throws money at Arab Islamist garbage, black Christian people whose only crime was to be born poor in Haiti die ."
291,LOC/North Korea;,Why did North Korea attack?
292,,"Why do n't u say ... "" ""Your reading World News Service "" "" """
293,,wonder what her security code was i want to be president ha ha
294,LOC/Egypt;,Egypt 'police abuse' probe urged
295,LOC/Kenya;,Kenya 'gay crackdown' criticised
296,ORG/UK government;LOC/Guantanamo Bay;,UK government to compensate ex-Guantanamo Bay detainees
297,ORG/Wikileaks;LOC/US;,Wikileaks releases more US files
298,ORG/Wikileaks;LOC/US;,Wikileaks under attack by hackers ahead of secret US document release
299,PER/Richard;,"bloody awful at the moment, but I 'll probably get over it . What brings you to TWETT? Are you aware cousin Richard's on here?"
